Kod;Nazwa;Cena;C. zakupu-PLN;Stan zasobów;Ilość;Jm;Typ;Ilość dostępna;Ilość minimalna;Rezerwacje;Braki;Zamówienia;Wartość-PLN
DS-400;Dekiel DS-400;16,11;12,40;Stan towaru powyżej ilości minimalnej;15,00;SZT;TP;15,00;4,00;0,00;0,00;15,00;241,65
DS-80;Dekiel DS-80;2,60;2,17;Stan towaru powyżej ilości minimalnej;9,00;SZT;TP;9,00;0,00;0,00;0,00;0,00;23,40
DSS-160;Dekiel segmentowy DSS-160;5,94;4,13;Stan towaru powyżej ilości minimalnej;21,00;SZT;TP;21,00;0,00;0,00;0,00;0,00;124,74
DSS-200;Dekiel segmentowy DSS-200;14,76;12,30;Stan towaru powyżej ilości minimalnej;29,00;SZT;TP;29,00;0,00;0,00;0,00;45,00;428,04
DSS-225;Dekiel segmentowy DSS-225;7,79;0,01;Stan towaru powyżej ilości minimalnej;13,00;SZT;TP;13,00;0,00;0,00;0,00;15,00;101,27
DSS-250;Dekiel segmentowy DSS-250;16,36;0,01;Stan towaru powyżej ilości minimalnej;65,00;SZT;TP;65,00;0,00;0,00;0,00;117,00;1 063,40
DSS-315;Dekiel segmentowy DSS-315;15,56;8,50;Stan towaru powyżej ilości minimalnej;30,00;SZT;TP;30,00;0,00;0,00;0,00;15,00;466,80
DSS-355;Dekiel segmentowy DSS-355;34,80;0,01;Stan towaru powyżej ilości minimalnej;5,00;SZT;TP;5,00;0,00;0,00;0,00;0,00;174,00
DSS-400;Dekiel segmentowy DSS-400;21,47;17,89;Stan towaru powyżej ilości minimalnej;15,00;SZT;TP;15,00;0,00;0,00;0,00;6,00;322,05
DSS-450;Dekiel segmentowy DSS-450;47,41;39,51;Stan towaru powyżej ilości minimalnej;6,00;SZT;TP;6,00;0,00;0,00;0,00;2,00;284,46
DSS-500;Dekiel segmentowy DSS-500;25,37;0,01;Stan towaru powyżej ilości minimalnej;5,00;SZT;TP;5,00;0,00;0,00;0,00;0,00;126,85
DSX-200 X;Dekiel nierdzewny DSX-200;45,67;38,06;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;45,67
DWUGWINT 10X120;"Dwugwint 10x120
";0,68;0,50;Stan towaru powyżej ilości minimalnej;289,00;SZT;TP;289,00;248,00;0,00;0,00;665,00;196,52
DWUGWINT 10X160;Dwugwint 10x160;1,13;0,83;Stan towaru powyżej ilości minimalnej;290,00;SZT;TP;290,00;0,00;0,00;0,00;50,00;327,70
DWUGWINT 10X250;Dwugwint 10x250;1,56;1,30;Stan towaru powyżej ilości minimalnej;24,00;SZT;TP;24,00;0,00;0,00;0,00;0,00;37,44
DWUGWINT 10X80;Dwugwint 10x80;0,48;0,36;Stan towaru powyżej ilości minimalnej;250,00;SZT;TP;250,00;93,00;0,00;0,00;974,00;120,00
